"syntax","description","expression","tio_link"
"Xv⍳Y","Index of keys Y in key vector Xv","⎕← 'Abe' 'Bob' 'Carl' ⍳ 'Bob' 'Abe'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUHZNS1RXUnfKTgKRzYlGOusKj3s0wAZDk//8A"
"∊Y","Enlist: Simple vector from elements of Y","mat← 2 3⍴⍳6
⎕←∊ 0 mat (7 8) 9
⎕←∊ 2 3⍴1 'abc'","https://tio.run/##SyzI0U2pTMzJT///Pzex5FHbBAUjBeNHvVse9W4243rUNxUo8qijS8FAASiroGGuYKGpYIkkDlFsqKCemJSs/v8/AA"
"⍸B","Indices of all 1s in B","⎕← ⍸ 1 0 0 1 1
bmat← 2 3⍴0 1 0 1 0 1
⎕← ⍸ bmat","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9e5QMFQwAEJDBUOupNzEEpCokYLxo94tBmAZMOZCUg5S9P8/AA"
"⍸Bm","List of arcs from adjacency matrix Bm","amat ← 3 3⍴0 1 0 0 0 1 1 1 0
⎕← ⍸ amat","https://tio.run/##SyzI0U2pTMzJT///PzE3sUThUdsEBWMF40e9WwwUDBUMwNAQDA24HvVNBUk/6t2hAFL7/z8A"
"X⍸Y","Indices of major cells of Y in left-inclusive intervals with cut-offs X","⎕← 'AEIOU' ⍸ 'DYALOG'
⎕← 2 4 6 ⍸ 1 2 3 4 5 6 7
mat←3 2⍴⍳6
⎕← mat ⍸ 3 3
⎕← mat ⍸ 3 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUHV09/UPVFR717lBQd4l09PF3V@eCyhkpmCiYgWUMgWxjIM8UyDfnyk0sAUobKxg96t3yqHezGUw9UBys2ljBGFPI5P9/AA"
"∪Y","Unique: Distinct major cells of Y","⎕← ∪ 'ab' 'ba' 'ab' 1 1 2
mat←2 3⍴'flyshyfly'
⎕← ∪ mat","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedaxSUE9MUldQT0pUh7AMgdCIKzexBChvpGD8qHeLelpOZXFGJZBU50LSB1Ty/z8A"
"Xv∪Yv","Union: Xv,Yv~Xv","⎕← 'ab' 'cde' 'fg' ∪ 'a' 'ab'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUE5PUFdSTU1KBZFq6usKjjlVAMXWw@P//AA"
"Xv∩Yv","Intersection: (Xv∊Yv)/Xv","⎕← 22 'ab' 'fg' ∩ 'a' 'ab' 22","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMjBTUE5PUFdTT0tUVHnWsBPLUISJGRv//AwA"
"X f⍣g Y","Power: iterating X∘f on Y until condition (f Y) g Y is true","⎕← 1 +∘÷⍣= 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFbQfdcw4vP1R72JbBcP//wE"
"f⍣g Y","Power: iterating f on Y until condition (f Y) g Y is true","⎕← 1∘+∘÷⍣= 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMH3XM0Abiw9sf9S62VTD8/x8A"
"⍋Jv","Invert permutation","⎕← ⍋ 2 5 1 3 4
⎕← ⍋⍋ 2 5 1 3 4  ⍝ invert back again","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XYrGCmYKhgqGCuYcCEEUcQVgCJzFTLzylKLShSSEpOzFRLTEzPz/v8HAA"
"C⍋D","Ascending grade using collation sequence C","⎕← ⍋ 'Banana'
⎕← 'Banana'[⍋ 'Banana']
⎕← 'an' ⍋ 'Banana'
⎕← 'Banana'['an' ⍋ 'Banana']","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XYrqDsl5gGhOhdUDMaPRpaMhcsm5qnj14ahIvb/fwA"
"⍒Y","Descending grade: Indices to reorder Y into descending order","⎕← ⍒ 33 11 44 66 22
names ← 'Joe' 'Sue' 'Sam'
ages ← 34 22 25
⎕← names[⍒ages]
⎕← ⍒ 'ABC' ⎕NULL ⍬ ¯3j4 'A'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9U5SMDZWMDRUMDFRMDNTMDLiykvMTS1WAEmqe@WnqiuoB5eCycRcda7EdKiUsQlQqYKRKRfUHLCmaKBpIBWxXEimqzs6OasrAAX8Qn18gCJrFA6tN84yAYqr//8PAA"
"C⍒D","Descending grade using collation sequence C","⎕← ⍒ 'Banana'
⎕← 'Banana'[⍒ 'Banana']
⎕← 'an' ⍒ 'Banana'
⎕← 'Banana'['an' ⍒ 'Banana']","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9U5SUHdKzANCdS6oGIwfjSwZC5dNzFPHrw1DRez//wA"
"Iv\Y","Expand last axis of Y","⎕← 3 ¯2 4 \ 7 8
⎕← 1 0 1 0 1 \ 'Hat'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFQ6tN1IwUYhRMFew4IIKGioYQHGMgrpHYon6//8A"
"f\Y","Scan: f between items of Y in progressively longer vectors along last axis","⎕← +\ 1 2 3 4 5
mat← 3 4⍴1 3 6 10 5 11 18 26 9 19 30 42
⎕← +\ mat","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExS0YxQMFYwUjBVMFEy5chNLQGJAzqPeLYZA2kzB0EDBVMHQUMHQQsHITMFSwdBSwdhAwcSIC6EfqOv/fwA"
"Iv⍀Y","Expand leading axis of Y","mat←3 4⍴⍳12
⎕← 1 0 2 1 ⍀ mat","https://tio.run/##SyzI0U2pTMzJT///Pzex5FHbBGMFk0e9Wx71bjY04nrUNxUoomCoYKBgBCQf9TYoABX9/w8A"
"f⍀Y","Scan First: f between items of Y in progressively longer vectors along first axis","mat←3 4⍴⍳12
⎕← +⍀ mat","https://tio.run/##SyzI0U2pTMzJT///Pzex5FHbBGMFk0e9Wx71bjY04nrUNxUooqD9qLdBASj7/z8A"
"⍉Y","Transpose: Reverse order of axes of Y","mat←2 3 4⍴⍳24
⎕← ⍉ mat","https://tio.run/##SyzI0U2pTMzJT///Pzex5FHbBCMFYwWTR71bHvVuNjLhetQ3FSim8Ki3UwEo/f8/AA"
"⍉Ym","Reflect diagonally","mat←2 3⍴⍳6
⎕← ⍉ mat","https://tio.run/##SyzI0U2pTMzJT///Pzex5FHbBCMF40e9Wx71bjbjetQ3FSig8Ki3UwEo9/8/AA"
"Iv⍉Y","Reorder the axes of Y","mat ← 2 3 4⍴⍳24
⎕← 1 3 2 ⍉ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwVjBZNHvVse9W42MuF61DcVJGgIFDRSeNTbqQBU9v8/AA"
"X f⌸Y","Key: f between unique X values and their corresponding items of Y","⎕← 'Banana' {⍺ ⍵}⌸ 3 1 4 1 5 9
⎕← ---
⎕← 'Banana' {⍺,+/⍵}⌸ 3 1 4 1 5 9
⎕← ---
⎕← 'Banana' {⍺ ⍵}⌸ 1 2 3 4 5 6","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUnRLzgFBdofpR7y6FR71bax/17FAwVjBUMAFiUwVLLqhCXV1dLmx6dLT1ydAFt8lQwQiozwSox@z/fwA"
"f⌸Y","Key: f between unique Y values and their first-axis indices","⎕← {⍺ ⍵}⌸ 'Banana'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSqH/XuUnjUu7X2Uc8OBXWnxDwgVP//HwA"
"X⍷Y","Boolean indication of top left corner of occurrences of entire array X within Y","⎕← 'ana' ⍷ 'Banana'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUE/MS1RUe9W5XUHcCMoGc//8B"
"X f.g Y","Inner Product: f / g between trailing vectors of X and leading vectors of Y","⎕← 1 2 3 +.× 4 5 6
⎕← 3 ∧.= 3 3 3 3
mat ← 2 2⍴⍳4
⎕← mat +.× mat","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBW09Q5PVzBRMFUw44KKGys86liuZwukwZArN7FEASRupGD0qHfLo97NJjCVIBmwfiDj/38A"
"M⊥N","Decode: Evaluate N in number system M","⎕← 2 ⊥ 1 1 0 1         ⍝ binary decode
⎕← 24 60 60 ⊥ 2 46 40  ⍝ mixed radix: conversion of hours, minutes and seconds to seconds","https://tio.run/##NYxBCsIwEEX3nuIfQCGW0IW3iZ1RA3VGklbaC7gQFDcuXXqxXCSmSP6fD3/x5rtLv6HZ9XrMOT3f6fZCg3T/YltsSqrS44O9FxdmEHdKvKq4RWuWW74a2BbW/PGzn5gQHPlph07lyiF6FegBJx1DXBdCxoEjnBBiWRWKGLTWnH8"
"Ns⊥N","Value of polynomial with descending coefficients N at point Ns","⎕← 3 ⊥ 1 0 6  ⍝ f(3) for f(x) = 1x² + 0x¹ + 6x⁰ = x² + 6","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFR51LVUwVDBQMFNQeNQ7VyFNw1hTIS2/CMio0FSwVTCsOLRJQVvBoOLQTiBlVvGocQNQFCJo9v8/AA"
"M⊤N","Encoding value N in number system M","⎕← 2 2 2 2 ⊤ 5 7 12  ⍝ binary encode
⎕← 24 60 60 ⊤ 10000  ⍝ mixed radix: encode of 10000 seconds to hours, minutes and seconds","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMoPBR1xIFUwVzBUMjBYVHvXMVkjLzEosqFVLzkvNTUrlgik0UzAxACKTa0AAIIIpzMytSUxSKElMyK6ygWhTy06AqilOT8/NSihVK8hUy8kuLinWAyvNKS1KLFRLzUmCy//8DAA"
"⌹Nm","Matrix inverse of Nm (square Nm)","mat ← 2 2⍴⍳4
⎕← ⌹ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwWjR71bHvVuNuF61DcVJPKoZ6cCUPb/fwA"
"⌹Nm","Matrix pseudo-inverse of Nm (over-determined Nm)","mat ← 3 2⍴1 2 0 1 2 4
⎕← ⌹ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWjR71bDBWMFAwUQKQJ16O@qSCJRz07FYCK/v8HAA"
"Mv⌹Nm","Solve equation system with variable coefficients Nm and values Mv","mat ← 2 2⍴⍳4
⎕← 5 6 ⌹ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwWjR71bHvVuNuF61DcVJGKqYKbwqGenAlDF//8A"
"Mm⌹Nm","Multiplying Mm with inversed Nm","mat ← 2 2⍴⍳4
⎕← mat ⌹ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwWjR71bHvVuNuF61DcVJAKW6dkJov//BwA"
"⍎Dv","Execute: Result of expression Dv","⎕← ⍎ '1+1'
V ← 1 2 3
⎕← ⍎ 'V'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9fYpqBtqG6pzhSmA@IYKRgrGXMiSYer//wMA"
"X⍎Dv","Execute Dv within namespace X (name or reference)","'ns' ⎕NS ⍬
ns.a ← 2
ns.b ← 3
⎕← 'ns' ⍎ 'a+b'","https://tio.run/##SyzI0U2pTMzJT///Xz2vWF3hUd9Uv2CFR71ruPKK9RIVHrVNUDACMZPATGMuoDyIAVHb26egnqidpP7/PwA"
"⍕Y","Format: Character representation of Y","⎕← ⌽ 12 34
⎕← ⌽ ⍕ 12 34","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9exVMDRSMDbhQhJ41DsVIvj/PwA"
"Iv⍕Y","Format Y using ({width}, decimals) pairs Iv (negative decimals for scaled notation)","⎕← 2 ⍕ 3.125 0.002
⎕← 6 2 ⍕ 3.125 0.002
⎕← 6 2 ⍕ 1234         ⍝ (field not wide enough)
⎕← ¯2 ⍕ 3.125 0.002","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFB71TlUw1jM0MlUw0DMwMOKCSpgRljI0MjZRgIFHvXMVNNIyU3NSFPLySxTKM1NSFVLz8kvTMzRh@g6txzDy/38A"
"Ns⌶Y","I-beam: Call experimental system-related monadic function Ns","⎕← 739⌶ 0  ⍝ ""Temporary Directory""","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTMjS0f9WxTMFBQeNQ7V0EpJDW3IL8osahSwSWzKDW5JL@oUun/fwA"
"name f←Y","Modified Assignment (tradfns/tradops only)","var←40
var+←2
⎕←var","https://tio.run/##SyzI0U2pTMzJT///vyyx6FHbBBMDLiBDG8gy4nrUNxVIA7n//wMA"
"name←Y","Assignment","var←42
⎕←var","https://tio.run/##SyzI0U2pTMzJT///vyyx6FHbBBMjrkd9U4EMIPf/fwA"
"∇","Dfn Self","Fact←{             ⍝ Factorial ⍵.
    ⍵≤1: 1         ⍝ small ⍵: finished
    ⍵×∇ ⍵-1        ⍝ otherwise: recurse
}
⎕←Fact 5","https://tio.run/##SyzI0U2pTMzJT///3y0xueRR24RqBWTwqHeuAkgivygzMQfI26rHBRHe@qhziaGVgiGKyuLcxBywKiuFtMy8zOKM1BSY8sPTH3W0gxi6hsg68ksyUovKM4tTrRSKUpNLi4pTuWq5HvVNBToEZK2C6f//AA"
"⍵","Dfn/dop Right Argument","⎕←2 {⍵+1} 5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtE4wUqh/1btU2rFUw/f8fAA"
"⍺","Dfn/dop Left Argument","⎕←2 {⍺+1} 5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtE4wUqh/17tI2rFUw/f8fAA"
"Z f⍨X,Y","Avoiding parentheses by swapping arguments in (X,Y) f Z","⎕←3 -⍨ 10×2","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtE4wVdB/1rlAwNDg83ej/fwA"
"X∘.g Y","Outer Product: g between each item of X and every item of Y","⎕← 1 2 3 ∘.× 4 5 6 7","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBUedczQOzxdwUTBVMFMwfz/fwA"
"expr⊣name←Y","Combining two lines into one","⎕← var×⍳4 ⊣ var←10","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTKEosOT3/Uu9lE4VHXYhAPKGho8P8/AA"
"∇∇","Dop Self","_Pow←{               ⍝ power operator: apply ⍵⍵ times
    ⍵⍵=0:⍵           ⍝ ⍵⍵ is 0: finished
    ⍺⍺ ∇∇(⍵⍵-1)⍺⍺ ⍵  ⍝ otherwise: recurse
}
⎕← ({1+⍵} _Pow 3) 5","https://tio.run/##SyzI0U2pTMzJT///Pz4gv/xR24RqBVTwqHeuQkF@eWqRQn5BalFiSX6RlUJiQUFOJVBmKxAplGTmphZzQZSCBGwNrEDCqCZA1WYWKxhYKaRl5mUWZ6SmQDXtAiKFRx3tQKQBUadrqAkTBpkEMiC/JCO1qDyzONVKoSg1ubSoOJWrlutR31SgixU0qg21gQprFUBeUDDWVDD9/x8A"
"↑Xv Yv …","N-row matrix from N vectors","⎕← ↑ 'Tic' 'Tac' 'Toe'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQetU1UUA/JTFYHkolgMj9V/f9/AA"
"⍵⍵","Dop Right Operand","⎕←3 +{⍺ ⍵⍵ ⍵}× 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtE4wVtKsf9e5SeNS7FYhAVO3h6Qom//8DAA"
"⍺⍺","Dop Left Operand","⎕←3 +{⍺ ⍺⍺ ⍵} 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtE4wVtKsf9e5SAGIItbVWweT/fwA"
"⌽[ax]Y","Reverse axis ax of Y","mat ← 3 4⍴⍳12
⎕← ⌽[1] mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FST0qGdvtGGsAlDF//8A"
"I⌽[ax]Y","Rotate vectors along axis ax of Y","mat ← 3 4⍴⍳12
⎕← 0 1 2 ¯1 ⌽[1] mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkoGCoYKRwaL2hwqOevdGGsQpAtf//AwA"
"↓[ax]Y","Split: Nest sub-arrays (from axis ax)","mat ← 3 4⍴⍳12
⎕← ↓[1] mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FST0qG1ytGGsAlDF//8A"
"Iv↓[ax]Y","Drop Iv items along axes ax of Y","mat ← 3 4⍴⍳12
⎕← 1 ↓[2] mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkCJSYHG0UqwBU8/8/AA"
"↑[ax]Y","Mix: Remove nesting (adding axes between ⌊ax and ⌈ax)","⎕← ↑[0.5] 'Hip' 'Hop'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQetU2MNtAzjVVQ98gsUAeS@QXq//8DAA"
"Iv↑[ax]Y","Take Iv items along axes ax of Y","mat ← 3 4⍴⍳12
⎕← 1 ↑[2] mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkCJSYGG0UqwBU8/8/AA"
"Is f/[ax]Y","N-wise Reduce: f between all items of Y in groups of Is on axis ax","mat ← 3 4⍴⍳12
⎕← +⌿ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSSk/ahnvwJQ/v9/AA"
"Iv/[ax]Y","Replicate along axis ax","mat ← 3 4⍴⍳12
⎕← 2 0 1 /[1] mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkpGCgYKigH20YqwBU9f8/AA"
"f/[ax]Y","Reduce: f between all items of Y on axis ax","mat ← 3 4⍴⍳12
⎕← +/[1] mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSSkrR9tGKsAVPD/PwA"
",[ax]Y","Ravel with Axis: insert new axis between ⌊ax and ⌈ax","⎕← ,[1.5] 'Foo'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExR0og31TGMV1N3y89X//wcA"
",[ax]Y","Ravel with Axes: combine axes","cube ← 2 2 2⍴⍳8
⎕← ,[2 3] cube","https://tio.run/##SyzI0U2pTMzJT///P7k0KVXhUdsEBSMQfNS75VHvZguuR31TQWI60UYKxrEKIDX//wMA"
"X,[ax]Y","Laminate: Join along new axis","⎕← 1 2 3 ,[0.5] 4 5 6","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBV0og30TGMVTBRMFcz@/wcA"
"⊂[ax]Y","Enclose: Contain axes ax inside scalars","cube ← 2 2 2⍴⍳8
⎕← ⊂[2 3] cube","https://tio.run/##SyzI0U2pTMzJT///P7k0KVXhUdsEBSMQfNS75VHvZguuR31TQWKPupqijRSMYxVAqv7/BwA"
"Av⊂[ax]Y","Partitioned enclose of Y according to Av (along axis ax)","mat ← 3 2⍴⍳6
⎕← 1 0 1 ⊂[1] mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWjR71bHvVuNuN61DcVJGKoYADEj7qaog1jFYDK/v8HAA"
"Mv⊆[ax]Y","Partition Y according to Mv (along axis ax)","mat ← 3 2⍴⍳6
⎕← 1 1 2 ⊆[1] mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWjR71bHvVuNuN61DcVJGIIhEYKj7raog1jFYDK/v8HAA"
"Iv⌷[ax]Y","Index Y using indices Iv along axes ax","mat ← 3 2⍴⍳6
⎕← 2 ⌷[2] mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWjR71bHvVuNuN61DcVJGKk8Khne7RRrAJQyf//AA"
"Iv\[ax]Y","Expand axis ax of Y","mat ← 3 2⍴⍳6
⎕← 1 0 1 1 \[1] mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWjR71bHvVuNuN61DcVJGKoYADEhgox0YaxCkBl//8DAA"
"f\[ax]Y","Scan: f between items of Y in progressively longer vectors along axis ax","mat ← 3 2⍴⍳6
⎕← +\[1] mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWjR71bHvVuNuN61DcVJKIdE20YqwCU//8fAA"
"name[I]←Y","Indexed Assignment","var←42
⎕←var","https://tio.run/##SyzI0U2pTMzJT///vyyx6FHbBBMjrkd9U4EMIPf/fwA"
"name[I]f←Y","Modified Indexed Assignment (tradfns/tradops only)","var←20 30 40
var[1 1 3]+←2
⎕←var","https://tio.run/##SyzI0U2pTMzJT///vyyx6FHbBCMDBWMDBRMDLiA32lDBUME4VhskzPWobyqQBor@/w8A"
"(f∘Y)Z","Curry: f between Z and Y, that is, Z f Y","prev ← -∘1
⎕← prev 23
sqrt ← *∘0.5
⎕← sqrt sqrt 16 81","https://tio.run/##SyzI0U2pTMzJT///v6AotUzhUdsEBd1HHTMMuR71TQVxwKJGxlzFhUUlYFktoKyBnilMHiwOJgzNFCwM//8HAA"
"X(f⍤Is Js)Y","Rank: f between every trailing rank-Is subarray of X and every trailing rank-Js subarray of Y","nmat ← 3 4⍴⍳12            ⍝ numeric matrix
⎕← 10 20 30 (+⍤0 1) nmat  ⍝ scalars plus vectors","https://tio.run/##SyzI0U2pTMzJT///Py83sUThUdsEBWMFk0e9Wx71bjY0UkACj3rnKuSV5qYWZSYrAJUWZVZwPeqbCtJgaKBgZKBgbKCgof2od4mBgqGmAtgwsJbi5MScxKJihYKc0mKFstTkkvyi4v//AQ"
"(f⍤Js)Y","Rank: f on every trailing rank-Js subarray of Y","cube ← 2 2 3⍴⍳12
⎕← (,⍤2) cube
cmat ← 2 3⍴'abczxy'  ⍝ character matrix
⎕← (⍋⍤1) cmat        ⍝ grade-up by row","https://tio.run/##SyzI0U2pTMzJT///P7k0KVXhUdsEBSMgNH7Uu@VR72ZDI65HfVNBgho6j3qXGGkqgFRxJecmlkCVghSqJyYlV1VUqisoPOqdq5CckViUmFySWqQAVFWUWQE34VFvN9AMQ6AZIO1QANKRXpSYkqpbWqCQVKlQlF/@/z8A"
"X@{B}Y","Unpack a vector X into an array based on mask B","⎕←'XYZ'@{0 1 1 0 0 1} 'abcdef'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtE9QjIqPUHaoNFAyB0AAIDWsV1BOTklNS09T//wcA"
"X(f@N)Y","At: apply X∘f to modify positions N in Y","⎕← 10 (×@2 4) 1 2 3 4 5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMDRQ0Dk93MFIw0VQwVDBSMFYwUTD9/x8A"
"X(f@g)Y","At: apply X∘f to modify positions identified by Boolean mask (g Y) in Y","⎕← 10 (×@(≤∘3)) 3 1 4 1 5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMDRQ0Dk930HjUueRRxwxjTU0FYwVDBRMgNv3/HwA"
"(X@N)Y","At: use values in X to replace positions N in Y","⎕← (0@2 4) 1 2 3 4 5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0DByMFEw0FQwVjBSMFUwUTP//BwA"
"(X@g)Y","At: use values in X to replace positions identified by Boolean mask (g Y) in Y","⎕← '*'@(2∘|) 1 2 3 4 5  ⍝ Boolean selection 1 0 1 0 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUtdQdNIwedcyo0VQwVDBSMFYwUTBVUHjUO1fBKT8/JzUxT6E4NSc1uSQzPw@owACC//8HAA"
"(Xv@Js)Ym","Amend row Js of matrix Ym","mat ← 3 2⍴⍳6
⎕← (8 9@2) mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWjR71bHvVuNuN61DcVJKJhoWDpYKSpAFTx/z8A"
"(f@N)Y","At: apply f to modify positions N in Y","⎕← (÷@2 4) 1 2 3 4 5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0Dm93MFIw0VQwVDBSMFYwUTD9/x8A"
"(f@g)Y","At: apply f to modify positions identified by Boolean mask (g Y) in Y","⎕← ⌽@(2∘|) 1 2 3 4 5  ⍝ Reversal of sub-array 1 3 5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9ex10DB61DGjRlPBUMFIwVjBRMFUQeFR71yFoNSy1KLixByF/DSF4tIk3cSiosRKoCJjBdP//wE"
"X(f⍣Js)Y","Power: apply X∘f on Y Js times","⎕← 1 (+⍣3) 5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFTS0H/UuNtZUMP3/HwA"
"(f⍣Js)Y","Power: apply f on Y Js times","⎕← (1∘+⍣3) 5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0DB91zNB@1LvYWFPB9P9/AA"
"(f⌺Jm)Y","Stencil: f on padding-size and (possibly overlapping) rectangles of Y of size and (optionally step) Jm","'disp'⎕CY'dfns'
mat ← 4 4⍴⍳16
⎕← disp ({⊂⍵}⌺3 3) mat
⎕← ({+/,⍵}⌺3 3) mat","https://tio.run/##SyzI0U2pTMzJT///Xz0ls7hA/VHfVOdI9ZS0vGJ1rtzEEoVHbRMUTBRMHvVuedS72dCMCygPEgKpVdCoftTV9Kh3a@2jnl3GCsaaCkANMAUa1dr6Omhy//8DAA"
"X(Ns⌶)Y","I-beam: Call experimental system-related dyadic function Ns","⎕←'APL'(16 27 31) (8⌶) 'PA'(27 16)  ⍝ ""Inverted Table Index Of""","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtE9QdA3zUNQzNFIzMFYwNNRU0LB71bNNUUA9wVNcAChmaaSooPOqdq6DkmVeWWlSSmqIQkpiUk6rgmZeSWqHgn6b0/z8A"
"X(f⍠Zv)Y","Variant: f qualified by Zv between X and Y","⎕← 1 ⎕JSON 1 2 (3 4)
⎕← 1 (⎕JSON ⍠'Compact'0) 1 2 (3 4)","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYAMr2B/PyDLSEHDWMFEkwsupQGTe9S7QN05P7cgMblE3UATofT/fwA"
"(f⍠Zv)Y","Variant: f qualified by Zv on Y","⎕← ('a' ⎕R 'x' ⍠ 'IC' 1) 'ABC'  ⍝ 'a' replaced with 'x' Ignoring Case","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ01BPVFYDsIAX1CiCjd4GCuqezuoKhpoK6oxOQARSaqwBSU5RakJOYnJqiUJ5ZkgFW7Jmel1@UmZeu4JxYnPr/PwA"
"(exp name)←Y","Selective Assignment: exp is an expression that selects elements of ""name""","var←42
⎕←var","https://tio.run/##SyzI0U2pTMzJT///vyyx6FHbBBMjrkd9U4EMIPf/fwA"
"(exp name)f←Y","Modified Selective Assignment: exp is an expression that selects elements of ""name"" (tradfns/tradops only)","var←20 30 40
(2 0 1/var)+←2
⎕←var","https://tio.run/##SyzI0U2pTMzJT///vyyx6FHbBCMDBWMDBRMDLg0jBQMFQ32gqKY2SJzrUd9UIA3k//8PAA"
"name[I]f∘⊢←Y","Modified Indexed Assignment (also dfns/dops)","var←20 30 40
plus←+
{var[1 1 3]plus∘⊢←2}⍬
⎕←var","https://tio.run/##SyzI0U2pTMzJT///vyyx6FHbBCMDBWMDBRMDroKc0mIgX5urGigRbahgqGAcCxbrmPGoaxFIZe2j3jVcj/qmAtlAJf//AwA"
"(exp name)f∘⊢←Y","Modified Selective Assignment: exp is an expression that selects elements of ""name"" (also dfns/dops)","var←20 30 40
plus←+
{(2 0 1/var)plus∘⊢←2}⍬
⎕←var","https://tio.run/##SyzI0U2pTMzJT///vyyx6FHbBCMDBWMDBRMDroKc0mIgX5urWsNIwUDBUB8orwkW7JjxqGsRSGnto941XI/6pgLZQMn//wE"
"⎕NULL","The null item","⎕← ⎕CMD 'dir /'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAlLOvi4J6SmaRgr76//8A"
"⎕A","The letters from A to Z","⎕← ⎕A","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAlOP//wA"
