"syntax","description","expression","tio_link"
"⊖Y","Reverse leading axis of Y","mat ← 2 3 4⍴⍳24
⎕← ⊖mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwVjBZNHvVse9W42MuF61DcVJPioaxpQ/v9/AA"
"⊖Ym","Reflect horizontally","mat ← 3 4⍴⍳12
⎕← ⊖mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FST0qGsaUPb/fwA"
"I⊖Y","Rotate vectors along leading axis of Y","mat ← 3 4⍴⍳12
⎕← 0 1 2 ¯1 ⊖ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkoGCoYKRwaL2hwqOuaQpAhf//AwA"
"÷N","Reciprocal: 1÷N","⎕← ÷ 1 2 3","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQOb1cwVDBSMP7/HwA"
"M÷N","Dividing M by N","⎕← 1 2 3 ÷ 4 5 7
⎕← 10 ÷ ¯2 0.5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBUOb1cwUTBVMOeCiRqAhA6tN1Iw0DP9/x8A"
"|N","Magnitude (absolute value)","⎕← | 2.3 ¯4 0 3j4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExRqFIz0jBUOrTdRMFAwzjL5/x8A"
"M|N","Residue after dividing N by M","⎕← 2 10 ¯2.5 | 7 ¯13 8","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFAwNFA6tN9IzVahRMAeyDI0VLP7/BwA"
"!N","Factorial (Gamma function of N+1)","⎕← ! 3 9 ¯0.11","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQUFYwVLBUOrTfQMzT8/x8A"
"M!N","Number of selections of size M from N (using Beta function): C(N,M)","⎕← 2 1 3 ! 3 10 ¯0.11","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFAwVjBUUgdjQQOHQegM9Q8P//wE"
"A!N","Selecting elements satisfying condition A, others to 1","⎕← 1 1 0 1 0 ! 3 1 4 1 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMgdAAjBUVjIG0CQj//w8A"
"?J","Random number selected from ⍳J","⎕← ? 6 6 6 6 6","https://tio.run/##SyzI0U2pTMzJT///qHeugnNOZnK2wqPmuY/6tyqU5Cukp@alFiWWpCrkpZYr5JXmJqUWFf9/1Df1UdsEBXsFMxj8/x8A"
"?B","Random real number between (0,1) if B=0 or ⎕IO if B=1","⎕← ? 0 0","https://tio.run/##SyzI0U2pTMzJT///qHeugnNOZnK2wqPmuY/6tyqU5Cukp@alFiWWpCrkpZYr5JXmJqUWFf9/1Df1UdsEBXsFAwWD//8B"
"Is?Js","Deal: Is random numbers between 1 and Js (without replacement)","⎕← 13 ? 52","https://tio.run/##SyzI0U2pTMzJT///qHeugnNOZnK2wqPmuY/6tyqU5Cukp@alFiWWpCrkpZYr5JXmJqUWFf9/1Df1UdsEBUNjBXsFU6P//wE"
"M<N","Less Than","⎕← 1 2 3 < 4 2 ¯1
⎕← 1 2 3 < 2","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBVsFEyA9KH1hlxowkb//wMA"
"A<B","Logical converse nonimplication","⎕← 0 1 0 1 < 0 0 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB2AZIgmjD//8B"
"M≤N","Less Than Or Equal To","⎕← 1 2 3 ≤ 4 2 ¯1
⎕← 1 2 3 ≤ 2","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBUedS5RMAGyDq035MKQMPr/HwA"
"A≤B","Logical implication","⎕← 0 1 0 1 ≤ 0 0 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB@FHnEiANYhn@/w8A"
"X=Y","Equal To","⎕← 1 2 3 = 4 2 ¯1
⎕← 'Banana' = 'a'
⎕← 7 = '7'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBVsFUyA9KH1hlxQYXWnxDwgVAfKqCeqw0TNQVxz9f//AQ"
"A=B","Logical XNOR","⎕← 0 1 0 1 = 0 0 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB2BZIgmjD//8B"
"M≥N","Greater Than Or Equal To","⎕← 1 2 3 ≥ 4 2 ¯1
⎕← 1 2 3 ≥ 2","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBUedS5VMAGyDq035MKQMPr/HwA"
"A≥B","Logical converse implication","⎕← 0 1 0 1 ≥ 0 0 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB@FHnUiANYhn@/w8A"
"M>N","Greater Than","⎕← 1 2 3 > 4 2 ¯1
⎕← 1 2 3 > 2","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBXsFEyA9KH1hlxowkb//wMA"
"A>B","Logical nonimplication","⎕← 0 1 0 1 > 0 0 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB2A5IgmjD//8B"
"X≠Y","Not Equal To","⎕← 1 2 3 ≠ 4 2 ¯1
⎕← 'Banana' ≠ 'a'
⎕← 7 ≠ '7'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBUedS5QMAGyDq035IJKqDsl5gGhOlhOPVEdJm4OETBX//8fAA"
"A≠B","Logical XOR","⎕← 0 1 0 1 ≠ 0 0 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB@FHnAiANYhn@/w8A"
"≡Y","Depth: Maximum level of nesting in Y (negative if uneven)","⎕← ≡ 7
⎕← ≡ 'abc'
⎕← ≡ (1 2)(3 4)
⎕← ≡ (1 2)(3 4)5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedS5UMOdC4qgnJiWrIwtoGCoYaWoYK5hoYhc1/f8fAA"
"X≡Y","Match: 1 if X is identical to Y, else 0","⎕← 'b' 'e' 'x' ≡ 'bex'
⎕← 1 ≡ 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUk9QV1FOBuEJd4VHnQiA/tUKdCyppCBYyVDD8/x8A"
"≢Xm","Number of rows in matrix Xm","mat ← 2 3⍴⍳6
⎕← ≢ mat
⎕← ⍴ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwXjR71bHvVuNuN61DcVJPKoc5ECUBbO7d0C4v7/DwA"
"≢Y","Tally: Number of items in leading axis","⎕← ≢ 'a'
⎕← ≢ 7 4 2
⎕← ≢ 5 4 3⍴0
⎕← ≢ (1 2)(3 4)","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedS5SUE9U50LimiuYKBghC5gCBYwf9W4xQBbUMFQw0tQwVjDR/P8fAA"
"X≢Y","Not Match: ~X≡Y","⎕← 'bex' ≢ 'b','e','x'
⎕← 1 ≢ 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUk1Ir1BUedS4CstR11FOBuEKdCyppCJYwVDD8/x8A"
"↓Y","Split: Nest sub-arrays (from last axis)","mat ← 2 3 4⍴⍳24
⎕← ↓ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwVjBZNHvVse9W42MuF61DcVJPiobbICUMH//wA"
"↓Ym","Matrix to vector of row vectors","mat ← 3 4⍴⍳12
⎕← ↓ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FST0qG2yAlD6/38A"
"Is↓Ym","Drop Is rows from matrix Ym","mat ← 3 4⍴⍳24
⎕← 1 ↓ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjLhetQ3FSRkCJSYrABU8P8/AA"
"Iv↓Y","Drop Iv items along leading axes of Y","mat ← 3 4⍴⍳24
⎕← 1 ¯2 ↓ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjLhetQ3FSRkqHBovRFQcrICUNH//wA"
