line,expression,url
81,apl-dyalog⎕← 3 1 4 1 5 ~ 5 1,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFQwVTIDYVKEOiA25oMLqiYnqCupJSUAiORnKAqqAiFRUqP//DwA
82,apl-dyalog⎕← 2 ⍴ 3,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFB71blEw5kLmPupdoWD8/z8A
83,apl-dyalog⎕← 'true' ⊣ 'false',https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUS4pKU9UVHnUtVlBPS8wpTlXnwpB51LsCJvn/PwA
97,apl-dyalogmat ← 3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSSk/ahnvwJQ/v9/AA
98,apl-dyalogmat ← 3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkqGCgYKTwqGe/AlDR//8A
99,apl-dyalogmat ← 3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkqGAAxI969isAFf3/DwA
100,apl-dyalogmat ← 3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSSk/ahnvwJQ/v9/AA
105,apl-dyalogcube ← 2 2 2⍴⍳8,https://tio.run/##SyzI0U2pTMzJT///P7k0KVXhUdsEBSMQfNS75VHvZguuR31TQWI6CiDp//8B
107,apl-dyalogcube ← 2 2⍴⍳4,https://tio.run/##SyzI0U2pTMzJT///P7k0KVXhUdsEBSMFo0e9Wx71bjbhetQ3FSQCltJRsLT8/x8A
108,apl-dyalogcube ← 2 2⍴⍳4,https://tio.run/##SyzI0U2pTMzJT///P7k0KVXhUdsEBSMFo0e9Wx71bjbhetQ3FSQCltJRMFCwtPz/HwA
110,apl-dyalogcube ← 2 2 2⍴⍳8,https://tio.run/##SyzI0U2pTMzJT///P7k0KVXhUdsEBSMQfNS75VHvZguuR31TQWKPelcpgBT8/w8A
112,apl-dyalogmat ← 2 3⍴⍳6,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwXjR71bHvVuNuN61DcVJAKW6V0Fov//BwA
113,apl-dyalogmat ← 2 3⍴⍳6,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwXjR71bHvVuNuN61DcVJAKW6V2lYPD/PwA
114,apl-dyalogmat ← 2 3⍴⍳6,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwXjR71bHvVuNuN61DcVJAKW6V2lYK5goWD5/z8A
117,apl-dyalog⎕← 1(2 3),https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMNYwUjDW5oLxHXU2YIgjB//8B
119,apl-dyalog⎕← 'this',https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUSzIyi9W5oLxHXW1oIhAeiEoswaIMKvH/PwA
120,apl-dyalog⎕← 1 0 0 1 1 ⊆ 1 2 3 4 5,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFQyA0BAIH3W1AUkjBWMFEwVTLrg0SAgEQdKPejeb/v8PAA
125,apl-dyalog⎕← 'ABCDABCDEF' ⍳ 'ACF',https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUHZ2cXUDY1U1d4VHvZqCAs5s6V25iiQJI2ljB6FHvFqC4GRdUA1gGqM5Uwez/fwA
127,apl-dyalogmat← 2 3⍴⍳6,https://tio.run/##SyzI0U2pTMzJT///Pzex5FHbBAUjBeNHvVse9W4243rUNxUo8qijS8FAASiroGGuYKGpYIkkDlFsqKCemJSs/v8/AA
128,"K,MLOQGmLutI OD$qI9Ec#[u.cA",https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtE9QTk5LVFUwUHnV0AUkgTx1EJKeoc@UmlgDlFYwUjB/1bnnUu9mMC6IDKA5WbQaUMlcw@f8fAA
129,apl-dyalog⎕← ⍸ 1 0 0 1 1,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9e5QMFQwAEJDBUOupNzEEpCokYLxo94tBmAZMOZCUg5S9P8/AA
130,apl-dyalogamat ← 3 3⍴0 1 0 0 0 1 1 1 0,https://tio.run/##SyzI0U2pTMzJT///PzE3sUThUdsEBWMF40e9WwwUDBUMwNAQDA24HvVNBUk/6t2hAFL7/z8A
132,apl-dyalog⎕← ∪ 'ab' 'ba' 'ab' 1 1 2,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedaxSUE9MUldQT0pUh7AMgdCIKzexBChvpGD8qHeLelpOZXFGJZBU50LSB1Ty/z8A
137,"K,MLOQGmv++*()q%+$սSԃKdb:Wb:TTȔjXS44X.$hO	P}ay]_p",https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XYrGBsrGBoqmJgomJkpGBlx5SXmphYrgCTVvfJT1RXUg0vBZGKuOldiOlTK2ASoVMHIlAtqDlhTNNA0kIpYLiTT1R2dnNUVgAJ@oT4@QJE1CofWG2eZAMXV//8HAA
138,apl-dyalog⎕← ⍋ 2 5 1 3 4,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XYrGCmYKhgqGCuYcCEEUcQVgCJzFTLzylKLShSSEpOzFRLTEzPz/v8HAA
139,apl-dyalog⎕← ⍋ 'Banana',https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XYrqDsl5gGhOhdUDMaPRpaMhcsm5qnj14ahIvb/fwA
141,apl-dyalog⎕← ⍒ 'Banana',https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9U5SUHdKzANCdS6oGIwfjSwZC5dNzFPHrw1DRez//wA
142,apl-dyalog⎕← 3 ¯2 4 \ 7 8,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFQ6tN1IwUYhRMFew4IIKGioYQHGMgrpHYon6//8A
143,apl-dyalog⎕← +\ 1 2 3 4 5,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExS0YxQMFYwUjBVMFEy5chNLQGJAzqPeLYZA2kzB0EDBVMHQUMHQQsHITMFSwdBSwdhAwcSIC6EfqOv/fwA
144,apl-dyalogmat←3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///Pzex5FHbBGMFk0e9Wx71bjY04nrUNxUoomCoYKBgBCQf9TYoABX9/w8A
145,apl-dyalogmat←3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///Pzex5FHbBGMFk0e9Wx71bjY04nrUNxUooqD9qLdBASj7/z8A
146,apl-dyalogmat←2 3 4⍴⍳24,https://tio.run/##SyzI0U2pTMzJT///Pzex5FHbBCMFYwWTR71bHvVuNjLhetQ3FSim8Ki3UwEo/f8/AA
147,apl-dyalogmat←2 3⍴⍳6,https://tio.run/##SyzI0U2pTMzJT///Pzex5FHbBCMF40e9Wx71bjbjetQ3FSig8Ki3UwEo9/8/AA
148,apl-dyalogmat ← 2 3 4⍴⍳24,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwVjBZNHvVse9W42MuF61DcVJGgIFDRSeNTbqQBU9v8/AA
152,apl-dyalog⎕← 1 2 3 +.× 4 5 6,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBW09Q5PVzBRMFUw44KKGys86liuZwukwZArN7FEASRupGD0qHfLo97NJjCVIBmwfiDj/38A
153,apl-dyalog⎕← 2 ⊥ 1 1 0 1         ⍝ binary decode,https://tio.run/##NYxBCsIwEEX3nuIfQCGW0IW3iZ1RA3VGklbaC7gQFDcuXXqxXCSmSP6fD3/x5rtLv6HZ9XrMOT3f6fZCg3T/YltsSqrS44O9FxdmEHdKvKq4RWuWW74a2BbW/PGzn5gQHPlph07lyiF6FegBJx1DXBdCxoEjnBBiWRWKGLTWnH8
155,apl-dyalog⎕← 2 2 2 2 ⊤ 5 7 12  ⍝ binary encode,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMoPBR1xIFUwVzBUMjBYVHvXMVkjLzEosqFVLzkvNTUrlgik0UzAxACKTa0AAIIIpzMytSUxSKElMyK6ygWhTy06AqilOT8/NSihVK8hUy8kuLinWAyvNKS1KLFRLzUmCy//8DAA
156,apl-dyalogmat ← 2 2⍴⍳4,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwWjR71bHvVuNuF61DcVJPKoZ6cCUPb/fwA
158,apl-dyalogmat ← 2 2⍴⍳4,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwWjR71bHvVuNuF61DcVJGKqYKbwqGenAlDF//8A
159,apl-dyalogmat ← 2 2⍴⍳4,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwWjR71bHvVuNuF61DcVJAKW6dkJov//BwA
161,apl-dyalog'ns' ⎕NS ⍬,https://tio.run/##SyzI0U2pTMzJT///Xz2vWF3hUd9Uv2CFR71ruPKK9RIVHrVNUDACMZPATGMuoDyIAVHb26egnqidpP7/PwA
162,apl-dyalog⎕← ⌽ 12 34,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9exVMDRSMDbhQhJ41DsVIvj/PwA
165,"e;0D{N.iS""Zj^H9Ah@4	H`vt&W$k.L\JmEFͥ  `[iAYQ;",https://tio.run/##ZY47DsIwEER7TrEVLviI8GmoUyJaastekkiOHTkbQYRo6UA0lByDC@Uixg4BgdhitdLsmxleqJGsuTKJczEqXjen64G1F8olGzaXW7yC5vw4gt93kEGBbaUFZUb3vOwBYGvcAaUWeWBauh/9AMbCZLyAEoXRsnxz08EM5vA3gcM9iooQSpMjpZlOINMgKmtRUxfVubANz@hTNfIp3z4h@fUOEZABYfJCIaFzTw
167,apl-dyalogvar←40,https://tio.run/##SyzI0U2pTMzJT///vyyx6FHbBBMDLiBDG8gy4nrUNxVIA7n//wMA
168,apl-dyalogvar←42,https://tio.run/##SyzI0U2pTMzJT///vyyx6FHbBBMjrkd9U4EMIPf/fwA
170,apl-dyalog∇ Foo,https://tio.run/##SyzI0U2pTMzJT/8PBI862hXc8vO5FBQe9U191DZB3c1QHcRpm4QkZKTOBVQHwgpFQAF3ZPXuYPUoRrhD1QPVAQA
171,apl-dyalog∇ Foo,https://tio.run/##SyzI0U2pTMzJT/8PBI862hXc8vO5FBQe9U191DZB3c1QHcRpm2SAJGakzgVUCMIKRUABd2QN7mANKGa4Q9UD1QEA
172,apl-dyalog∇ Foo,https://tio.run/##SyzI0U2pTMzJT/8PBI862hXc8vO5FBQe9U191DZB3c1QHcRpmxTs7RmAJGwEFAYJWSGJGatzAfVzAfUDAA
178,"K,MLO?> QۄjTwBA^ZPZX_ePPST",https://tio.run/##SyzI0U2pTMzJT///Pz4gv/xR24RqBVTwqHeuQkF@eWqRQn5BalFiSX6RlUJiQUFOJVBmKxAplGTmphZzQZSCBGwNrEDCqCZA1WYWKxhYKaRl5mUWZ6SmQDXtAiKFRx3tQKQBUadrqAkTBpkEMiC/JCO1qDyzONVKoSg1ubSoOJWrlutR31SgixU0qg21gQprFUBeUDDWVDD9/x8A
182,apl-dyalogmat ← 3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FST0qGdvtGGsAlDF//8A
183,apl-dyalogmat ← 3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkoGCoYKRwaL2hwqOevdGGsQpAtf//AwA
184,apl-dyalogmat ← 3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FST0qG1ytGGsAlDF//8A
185,apl-dyalogmat ← 3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkCJSYHG0UqwBU8/8/AA
187,apl-dyalogmat ← 3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkCJSYGG0UqwBU8/8/AA
188,apl-dyalogmat ← 3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSSk/ahnvwJQ/v9/AA
189,apl-dyalogmat ← 3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkpGCgYKigH20YqwBU9f8/AA
190,apl-dyalogmat ← 3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSSkrR9tGKsAVPD/PwA
192,apl-dyalogcube ← 2 2 2⍴⍳8,https://tio.run/##SyzI0U2pTMzJT///P7k0KVXhUdsEBSMQfNS75VHvZguuR31TQWI60UYKxrEKIDX//wMA
194,apl-dyalogcube ← 2 2 2⍴⍳8,https://tio.run/##SyzI0U2pTMzJT///P7k0KVXhUdsEBSMQfNS75VHvZguuR31TQWKPupqijRSMYxVAqv7/BwA
195,apl-dyalogmat ← 3 2⍴⍳6,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWjR71bHvVuNuN61DcVJGKoYADEj7qaog1jFYDK/v8HAA
196,apl-dyalogmat ← 3 2⍴⍳6,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWjR71bHvVuNuN61DcVJGIIhEYKj7raog1jFYDK/v8HAA
197,apl-dyalogmat ← 3 2⍴⍳6,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWjR71bHvVuNuN61DcVJGKk8Khne7RRrAJQyf//AA
198,apl-dyalogmat ← 3 2⍴⍳6,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWjR71bHvVuNuN61DcVJGKoYADEhgox0YaxCkBl//8DAA
199,apl-dyalogmat ← 3 2⍴⍳6,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWjR71bHvVuNuN61DcVJKIdE20YqwCU//8fAA
200,apl-dyalogvar←42,https://tio.run/##SyzI0U2pTMzJT///vyyx6FHbBBMjrkd9U4EMIPf/fwA
203,apl-dyalogprev ← -∘1,https://tio.run/##SyzI0U2pTMzJT///v6AotUzhUdsEBd1HHTMMuR71TQVxwKJGxlzFhUUlYFktoKyBnilMHiwOJgzNFCwM//8HAA
204,apl-dyalognmat ← 3 4⍴⍳12            ⍝ numeric matrix,https://tio.run/##SyzI0U2pTMzJT///Py83sUThUdsEBWMFk0e9Wx71bjY0UkACj3rnKuSV5qYWZSYrAJUWZVZwPeqbCtJgaKBgZKBgbKCgof2od4mBgqGmAtgwsJbi5MScxKJihYKc0mKFstTkkvyi4v//AQ
205,"K,MLO?4)UQ# 4~ԹT{ِT`ޥJIyɥ%`*ɉUU*:j'$V%&$",https://tio.run/##SyzI0U2pTMzJT///P7k0KVXhUdsEBSMgNH7Uu@VR72ZDI65HfVNBgho6j3qXGGkqgFRxJecmlkCVghSqJyYlV1VUqisoPOqdq5CckViUmFySWqQAVFWUWQE34VFvN9AMQ6AZIO1QANKRXpSYkqpbWqCQVKlQlF/@/z8A
211,apl-dyalogmat ← 3 2⍴⍳6,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWjR71bHvVuNuN61DcVJKJhoWDpYKSpAFTx/z8A
218,apl-dyalog⎕← 1 ⎕JSON 1 2 (3 4),https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYAMr2B/PyDLSEHDWMFEkwsupQGTe9S7QN05P7cgMblE3UATofT/fwA
219,"K,MLOQGm4 ",https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ01BPVFYDsIAX1CiCjd4GCuqezuoKhpoK6oxOQARSaqwBSU5RakJOYnJqiUJ5ZkgFW7Jmel1@UmZeu4JxYnPr/PwA
220,apl-dyalogvar←42,https://tio.run/##SyzI0U2pTMzJT///vyyx6FHbBBMjrkd9U4EMIPf/fwA
221,apl-dyalogvar←20 30 40,https://tio.run/##SyzI0U2pTMzJT///vyyx6FHbBCMDBWMDBRMDLg0jBQMFQ32gqKY2SJzrUd9UIA3k//8PAA
222,apl-dyalogvar←20 30 40,https://tio.run/##SyzI0U2pTMzJT///vyyx6FHbBCMDBWMDBRMDroKc0mIgX5urGigRbahgqGAcCxbrmPGoaxFIZe2j3jVcj/qmAtlAJf//AwA
223,apl-dyalogvar←20 30 40,https://tio.run/##SyzI0U2pTMzJT///vyyx6FHbBCMDBWMDBRMDroKc0mIgX5urWsNIwUDBUB8orwkW7JjxqGsRSGnto941XI/6pgLZQMn//wE
227,apl-dyalog⎕IO ← 0,https://tio.run/##SyzI0U2pTMzJT/8PBI/6pnr6Kzxqm6BgwJUIpg0VjBSMuZLAbPXEpGR1LqAaEAesFMZJVEgCMZ19XB2DuCAyQCEA
